epoch	train_loss	valid_loss	rouge1	rouge2	rougeL	bertscore_precision	bertscore_recall	bertscore_f1	bleu	meteor	sacrebleu	time
0	2.169014	1.616870	0.405362	0.183001	0.289380	0.668831	0.730222	0.697764	0.154299	0.298878	2.768335	01:16
1	1.956621	1.467529	0.399689	0.190288	0.303694	0.665089	0.731125	0.695865	0.158959	0.317528	2.322678	00:07
2	1.757565	1.362743	0.421092	0.148718	0.276538	0.687562	0.730111	0.707854	0.166476	0.246399	2.899260	00:06
3	1.667105	1.305547	0.394735	0.120393	0.265975	0.688792	0.714916	0.700992	0.159179	0.202284	2.595873	00:05
4	1.615826	1.293014	0.399523	0.123047	0.272014	0.688842	0.717994	0.702806	0.158261	0.199206	2.621737	00:06
5	1.480951	1.272569	0.390506	0.106395	0.255277	0.702196	0.712972	0.707271	0.159912	0.136104	2.725475	00:05
6	1.387210	1.302992	0.425552	0.151665	0.296911	0.704437	0.731931	0.717247	0.181288	0.214823	3.631775	00:05
7	1.357481	1.277673	0.422807	0.138747	0.284440	0.703579	0.724379	0.713483	0.179276	0.200224	3.484702	00:05
8	1.294722	1.285277	0.410810	0.155269	0.294388	0.722153	0.719996	0.720778	0.246090	0.189598	8.359873	00:05
9	1.238624	1.248491	0.447888	0.188347	0.318524	0.723287	0.743433	0.732730	0.220694	0.269118	6.386566	00:05
10	1.150228	1.405458	0.420426	0.164149	0.310785	0.721836	0.737778	0.728673	0.216253	0.239270	5.711709	00:05
11	1.103279	1.250633	0.419945	0.136258	0.288126	0.724661	0.732244	0.727935	0.213040	0.204620	4.774782	00:05
12	1.081538	1.284506	0.410653	0.129045	0.284181	0.714332	0.720362	0.716898	0.188639	0.160775	4.140946	00:05
13	1.019523	1.328175	0.392828	0.107415	0.268298	0.707933	0.710904	0.709241	0.166003	0.131206	3.021711	00:04
14	0.988574	1.294403	0.364635	0.106881	0.249506	0.711142	0.705255	0.708000	0.189521	0.128045	3.984564	00:04
15	0.931378	1.267550	0.390427	0.132355	0.267616	0.728724	0.721417	0.724683	0.221419	0.192592	3.942136	00:05
16	0.883059	1.350418	0.404299	0.144692	0.283572	0.724586	0.728553	0.726169	0.222820	0.210190	5.748485	00:05
17	0.843461	1.402209	0.374313	0.130922	0.265121	0.717185	0.710824	0.713577	0.197698	0.195910	3.579187	00:05
18	0.792423	1.384465	0.435963	0.164243	0.328945	0.739503	0.730302	0.734619	0.184330	0.187288	5.626958	00:04
19	0.748449	1.336342	0.414855	0.165345	0.323307	0.728658	0.740049	0.733493	0.232335	0.249134	5.772728	00:05
20	0.696581	1.419929	0.411512	0.172073	0.314307	0.737932	0.745031	0.740681	0.233125	0.240292	4.479275	00:05
21	0.656785	1.534009	0.396119	0.119680	0.291960	0.722323	0.731985	0.726572	0.169861	0.181600	2.222671	00:05
22	0.620515	1.551419	0.350561	0.066812	0.252190	0.709239	0.702492	0.705540	0.127584	0.092415	2.107737	00:04
23	0.580227	1.529762	0.377718	0.136233	0.296921	0.721456	0.715572	0.717922	0.220031	0.159772	4.833173	00:05
24	0.527076	1.591541	0.449105	0.176705	0.343321	0.739356	0.742702	0.740684	0.269814	0.232462	7.579826	00:05
25	0.486248	1.651228	0.416347	0.208487	0.336995	0.737281	0.751765	0.744026	0.279172	0.274078	7.278113	00:05
26	0.454195	1.678978	0.413648	0.160946	0.311262	0.728238	0.737844	0.732851	0.253316	0.250908	6.735695	00:05
27	0.442166	1.557033	0.362637	0.136686	0.287717	0.733115	0.730877	0.731389	0.201271	0.200831	7.877661	00:04
28	0.392189	1.776270	0.408227	0.104796	0.274032	0.709437	0.713188	0.711052	0.194653	0.158871	2.667734	00:05
29	0.387301	1.839647	0.406281	0.206167	0.331519	0.747329	0.748136	0.747323	0.276206	0.256749	7.956636	00:04
30	0.372298	1.872715	0.351773	0.110164	0.279099	0.734324	0.718784	0.726205	0.177962	0.156581	6.310445	00:04
31	0.354263	1.839481	0.449840	0.162543	0.315745	0.724165	0.741168	0.732131	0.207779	0.241676	6.898811	00:05
32	0.328276	2.002897	0.421225	0.181035	0.333384	0.731327	0.737124	0.733653	0.233699	0.195685	4.562086	00:04
33	0.294712	1.836424	0.427906	0.164688	0.316846	0.723904	0.725994	0.724736	0.226524	0.163017	3.755479	00:05
34	0.274473	1.922789	0.355093	0.102320	0.252903	0.721414	0.717269	0.718981	0.192860	0.117098	3.105896	00:04
35	0.248943	2.022853	0.455010	0.179812	0.331310	0.741175	0.747015	0.743652	0.268689	0.231965	7.779462	00:05
36	0.241567	2.059306	0.356896	0.117837	0.273888	0.718355	0.718174	0.717467	0.196659	0.155697	3.810645	00:04
37	0.235441	1.952883	0.377170	0.137194	0.290888	0.732733	0.731490	0.731919	0.200407	0.153393	6.107168	00:04
38	0.215303	2.078160	0.361316	0.118632	0.269994	0.724528	0.721198	0.722691	0.210573	0.118657	3.964841	00:04
39	0.207011	1.966228	0.364008	0.093621	0.273942	0.725934	0.728000	0.726651	0.156705	0.136695	3.189001	00:05
40	0.193611	2.095126	0.384217	0.099122	0.267514	0.718382	0.716766	0.717471	0.178278	0.099511	3.864415	00:04
41	0.177492	1.967512	0.415805	0.199418	0.330220	0.732267	0.742774	0.737162	0.288207	0.245773	10.191549	00:05
42	0.175710	1.869065	0.342425	0.088659	0.263365	0.718403	0.717437	0.717799	0.137457	0.124375	3.088842	00:04
43	0.169054	1.863633	0.445201	0.208621	0.363580	0.760332	0.750109	0.754643	0.285879	0.221461	10.481247	00:04
44	0.151958	2.105976	0.403602	0.158407	0.325820	0.735702	0.747474	0.741227	0.235947	0.210832	6.543153	00:05
45	0.143464	2.157276	0.433315	0.159915	0.345884	0.746923	0.739146	0.742534	0.252799	0.200614	7.336383	00:04
46	0.145907	2.199618	0.341752	0.134704	0.279314	0.730552	0.727181	0.728398	0.194187	0.157979	8.331960	00:05
47	0.145245	2.282062	0.396818	0.117743	0.289499	0.732476	0.737625	0.734489	0.169472	0.152965	3.601455	00:04
48	0.125161	2.302751	0.403723	0.153164	0.318216	0.739568	0.749782	0.744579	0.255178	0.200070	7.755514	00:04
49	0.109376	2.242539	0.361538	0.102755	0.256224	0.719561	0.720502	0.719855	0.152291	0.141473	1.358196	00:04
50	0.096202	2.262096	0.380965	0.199829	0.321848	0.744440	0.738932	0.741360	0.226705	0.184903	6.761646	00:04
51	0.095207	2.262188	0.332322	0.071277	0.234387	0.718431	0.717066	0.717648	0.140673	0.090354	3.571867	00:04
52	0.078602	2.320865	0.328150	0.078794	0.235863	0.724484	0.710524	0.717077	0.145434	0.096958	1.619032	00:04
53	0.090804	2.273658	0.393052	0.119206	0.292218	0.728071	0.730183	0.728762	0.193978	0.162246	5.749347	00:05
54	0.104763	2.355981	0.335345	0.125362	0.271771	0.732167	0.729981	0.730842	0.174276	0.156445	5.293927	00:04
55	0.082682	2.441700	0.381572	0.140550	0.281714	0.725364	0.727554	0.726241	0.207848	0.152153	5.486747	00:04
56	0.080570	2.422972	0.373805	0.119467	0.271850	0.730853	0.739710	0.735151	0.204434	0.167757	6.204982	00:04
57	0.069781	2.307270	0.427923	0.202036	0.340969	0.743819	0.749805	0.746534	0.241591	0.234724	9.855661	00:04
58	0.083122	2.138490	0.372476	0.144015	0.292659	0.745727	0.741469	0.743317	0.227271	0.175904	10.123632	00:04
59	0.089060	2.255545	0.418978	0.120803	0.313599	0.726385	0.733653	0.729846	0.204387	0.151894	4.675535	00:04
60	0.078510	2.507414	0.364565	0.149197	0.287355	0.731942	0.739752	0.735661	0.216016	0.182466	5.304825	00:04
61	0.078883	2.366283	0.383984	0.137326	0.302782	0.724126	0.729325	0.726322	0.182257	0.160240	4.795153	00:04
62	0.076122	2.435532	0.341275	0.108598	0.258268	0.726867	0.731274	0.729019	0.176019	0.140269	4.935651	00:04
63	0.087773	2.382664	0.354584	0.109504	0.275737	0.727800	0.724112	0.725852	0.178699	0.147697	5.012550	00:04
64	0.081650	2.362554	0.404884	0.160146	0.335108	0.742889	0.739496	0.741041	0.229492	0.174950	6.594652	00:04
65	0.075671	2.352624	0.363217	0.138362	0.280830	0.733899	0.729422	0.731467	0.195140	0.163984	2.766681	00:04
66	0.065635	2.292527	0.394103	0.180566	0.317364	0.740351	0.747131	0.743415	0.261703	0.218430	8.392474	00:04
67	0.057760	2.421156	0.394857	0.114509	0.276833	0.723948	0.734394	0.728973	0.187473	0.135944	4.015420	00:04
68	0.048978	2.401617	0.449021	0.131714	0.335301	0.732485	0.742759	0.737401	0.221777	0.166798	5.157292	00:04
69	0.045066	2.459676	0.326719	0.137283	0.270193	0.726552	0.733690	0.729755	0.168789	0.167456	7.085963	00:04
70	0.040721	2.594412	0.389255	0.119416	0.288382	0.724294	0.740745	0.732095	0.183795	0.185877	3.101684	00:04
71	0.047860	2.504449	0.359657	0.135039	0.274077	0.733513	0.735855	0.734459	0.197835	0.174179	7.037499	00:04
72	0.060194	2.534367	0.263985	0.076608	0.211091	0.710890	0.697726	0.704099	0.093354	0.065509	1.258977	00:04
